Fecha,Año,Mes,Persona,Vendedor,SKU,Nombre Producto,Comentarios Producto,Cantidad_ventas,Precio,% Descuento,Descuento,IVA Vigente,Subtotal IVA mayor a 0%,IVA,Total,Saldo,Retenciones,Estado,Dias vencimiento,Fecha Vencimiento,Cantidad_inv,PVP,Costo Adquisición Unitario,Costo Adquisición,Modelo producto
2023-02-24,2023,2,Estética Integral,Elena Gómez,IMP-RE-275,Implante de Seno Redondo Low Profile 275cc,"Grado médico, esterilizado Gamma",10,1134.05,0.05,567.02,0.15,10773.48,1616.02,12389.5,0.0,0.0,Pagado,27,2023-03-23,50,1134.05,502.55,5025.5,Redondo Low Profile
2025-05-29,2025,5,Estética Integral,Carlos Ruiz,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",11,1896.36,0.05,1043.0,0.15,19816.96,2972.54,22789.5,0.0,0.0,Pagado,49,2025-07-17,29,1896.36,663.63,7299.93,Redondo Low Profile
2023-08-04,2023,8,Hospital del Valle,Marcos Proaño,IMP-ER-325,Implante de Seno Ergonómico 325cc,"Grado médico, esterilizado Gamma",12,2032.21,0.0,0.0,0.15,24386.52,3657.98,28044.5,28044.5,490.78,Pendiente,16,2023-08-20,12,2032.21,759.13,9109.56,Ergonómico
2024-09-05,2024,9,Centro Quirúrgico Norte,Carlos Ruiz,IMP-ER-250,Implante de Seno Ergonómico 250cc,"Grado médico, esterilizado Gamma",1,1674.05,0.0,0.0,0.15,1674.05,251.11,1925.16,0.0,33.69,Pagado,58,2024-11-02,17,1674.05,561.96,561.96,Ergonómico
2024-02-14,2024,2,Centro Quirúrgico Norte,Carlos Ruiz,IMP-ER-325,Implante de Seno Ergonómico 325cc,"Grado médico, esterilizado Gamma",6,1922.27,0.15,1730.04,0.15,9803.58,1470.54,11274.12,0.0,197.3,Pagado,46,2024-03-31,145,1922.27,721.43,4328.58,Ergonómico
2024-02-01,2024,2,Centro Quirúrgico Norte,Carlos Ruiz,IMP-AN-325,Implante de Seno Anatómico 325cc,"Grado médico, esterilizado Gamma",5,1943.88,0.1,971.94,0.15,8747.46,1312.12,10059.58,10059.58,0.0,Pendiente,53,2024-03-25,64,1943.88,661.71,3308.55,Anatómico
2024-06-30,2024,6,Estética Integral,Lucía Méndez,IMP-RE-325,Implante de Seno Redondo High Profile 325cc,"Grado médico, esterilizado Gamma",7,2037.76,0.0,0.0,0.15,14264.32,2139.65,16403.97,0.0,0.0,Pagado,36,2024-08-05,135,2037.76,683.26,4782.82,Redondo High Profile
2025-06-30,2025,6,Estética Integral,Lucía Méndez,IMP-ER-350,Implante de Seno Ergonómico 350cc,"Grado médico, esterilizado Gamma",8,1804.12,0.0,0.0,0.15,14432.96,2164.94,16597.9,0.0,290.46,Pagado,40,2025-08-09,72,1804.12,733.41,5867.28,Ergonómico
2023-10-04,2023,10,Dr. Juan Pérez,Carlos Ruiz,IMP-AN-350,Implante de Seno Anatómico 350cc,"Grado médico, esterilizado Gamma",11,1350.51,0.1,1485.56,0.15,13370.05,2005.51,15375.56,15375.56,269.07,Pendiente,22,2023-10-26,123,1350.51,490.3,5393.3,Anatómico
2024-03-09,2024,3,Estética Integral,Lucía Méndez,IMP-ER-325,Implante de Seno Ergonómico 325cc,"Grado médico, esterilizado Gamma",3,1478.6,0.0,0.0,0.15,4435.8,665.37,5101.17,0.0,89.27,Pagado,19,2024-03-28,115,1478.6,586.1,1758.3,Ergonómico
2025-04-04,2025,4,Centro Quirúrgico Norte,Sofia Vega,IMP-AN-275,Implante de Seno Anatómico 275cc,"Grado médico, esterilizado Gamma",7,1978.12,0.05,692.34,0.15,13154.5,1973.17,15127.67,0.0,0.0,Pagado,35,2025-05-09,106,1978.12,760.03,5320.21,Anatómico
2023-08-07,2023,8,Hospital del Valle,Sofia Vega,IMP-AN-300,Implante de Seno Anatómico 300cc,"Grado médico, esterilizado Gamma",9,1813.83,0.1,1632.45,0.15,14692.02,2203.8,16895.82,16895.82,295.68,Pendiente,42,2023-09-18,75,1813.83,814.34,7329.06,Anatómico
2024-12-04,2024,12,Clínica Santa Inés,Marcos Proaño,IMP-ER-500,Implante de Seno Ergonómico 500cc,"Grado médico, esterilizado Gamma",4,2056.88,0.15,1234.13,0.15,6993.39,1049.01,8042.4,0.0,140.74,Pagado,15,2024-12-19,35,2056.88,717.76,2871.04,Ergonómico
2023-08-21,2023,8,Clínica Santa Inés,Carlos Ruiz,IMP-RE-325,Implante de Seno Redondo High Profile 325cc,"Grado médico, esterilizado Gamma",11,1018.34,0.15,1680.26,0.15,9521.48,1428.22,10949.7,10949.7,0.0,Pendiente,60,2023-10-20,128,1018.34,452.86,4981.46,Redondo High Profile
2025-03-08,2025,3,Clínica Santa Inés,Elena Gómez,IMP-AN-350,Implante de Seno Anatómico 350cc,"Grado médico, esterilizado Gamma",8,1312.18,0.1,1049.74,0.15,9447.7,1417.15,10864.85,10864.85,0.0,Pendiente,39,2025-04-16,72,1312.18,537.96,4303.68,Anatómico
2024-04-17,2024,4,Dr. Juan Pérez,Carlos Ruiz,IMP-ER-275,Implante de Seno Ergonómico 275cc,"Grado médico, esterilizado Gamma",5,1928.9,0.15,1446.67,0.15,8197.83,1229.67,9427.5,0.0,164.98,Pagado,23,2024-05-10,66,1928.9,837.58,4187.9,Ergonómico
2024-09-02,2024,9,Clínica Santa Inés,Sofia Vega,IMP-RE-325,Implante de Seno Redondo High Profile 325cc,"Grado médico, esterilizado Gamma",3,1379.94,0.1,413.98,0.15,3725.84,558.88,4284.72,4284.72,74.98,Pendiente,16,2024-09-18,20,1379.94,479.33,1437.99,Redondo High Profile
2024-05-29,2024,5,Hospital del Valle,Marcos Proaño,IMP-AN-275,Implante de Seno Anatómico 275cc,"Grado médico, esterilizado Gamma",12,1594.08,0.0,0.0,0.15,19128.96,2869.34,21998.3,21998.3,0.0,Pendiente,31,2024-06-29,138,1594.08,718.55,8622.6,Anatómico
2024-04-12,2024,4,Dr. Juan Pérez,Carlos Ruiz,IMP-RE-350,Implante de Seno Redondo High Profile 350cc,"Grado médico, esterilizado Gamma",7,1544.0,0.05,540.4,0.15,10267.6,1540.14,11807.74,0.0,0.0,Pagado,53,2024-06-04,60,1544.0,588.6,4120.2,Redondo High Profile
2023-12-01,2023,12,Centro Quirúrgico Norte,Marcos Proaño,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",10,1685.24,0.0,0.0,0.15,16852.4,2527.86,19380.26,0.0,0.0,Pagado,38,2024-01-08,62,1685.24,641.34,6413.4,Redondo Low Profile
2024-02-23,2024,2,Dr. Juan Pérez,Elena Gómez,IMP-ER-375,Implante de Seno Ergonómico 375cc,"Grado médico, esterilizado Gamma",5,1155.65,0.15,866.74,0.15,4911.51,736.73,5648.24,0.0,0.0,Pagado,34,2024-03-28,9,1155.65,477.73,2388.65,Ergonómico
2024-12-25,2024,12,Hospital del Valle,Sofia Vega,IMP-RE-275,Implante de Seno Redondo High Profile 275cc,"Grado médico, esterilizado Gamma",1,1304.29,0.0,0.0,0.15,1304.29,195.64,1499.93,1499.93,0.0,Pendiente,32,2025-01-26,90,1304.29,481.12,481.12,Redondo High Profile
2023-11-28,2023,11,MedGroup SA,Carlos Ruiz,IMP-AN-400,Implante de Seno Anatómico 400cc,"Grado médico, esterilizado Gamma",6,2057.9,0.0,0.0,0.15,12347.4,1852.11,14199.51,0.0,248.49,Pagado,58,2024-01-25,112,2057.9,807.14,4842.84,Anatómico
2024-05-30,2024,5,Estética Integral,Lucía Méndez,IMP-RE-500,Implante de Seno Redondo Low Profile 500cc,"Grado médico, esterilizado Gamma",6,2464.59,0.15,2218.13,0.15,12569.41,1885.41,14454.82,0.0,252.96,Pagado,28,2024-06-27,79,2464.59,828.09,4968.54,Redondo Low Profile
2024-06-23,2024,6,Clínica Santa Inés,Marcos Proaño,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",10,2189.78,0.0,0.0,0.15,21897.8,3284.67,25182.47,0.0,440.69,Pagado,48,2024-08-10,91,2189.78,802.08,8020.8,Redondo Low Profile
2023-05-31,2023,5,Clínica Santa Inés,Marcos Proaño,IMP-RE-275,Implante de Seno Redondo Low Profile 275cc,"Grado médico, esterilizado Gamma",10,1892.01,0.1,1892.01,0.15,17028.09,2554.21,19582.3,0.0,0.0,Pagado,16,2023-06-16,22,1892.01,656.06,6560.6,Redondo Low Profile
2023-09-19,2023,9,Estética Integral,Lucía Méndez,IMP-AN-325,Implante de Seno Anatómico 325cc,"Grado médico, esterilizado Gamma",11,1476.88,0.05,812.28,0.15,15433.4,2315.01,17748.41,0.0,310.6,Pagado,20,2023-10-09,51,1476.88,590.2,6492.2,Anatómico
2025-01-23,2025,1,Centro Quirúrgico Norte,Lucía Méndez,IMP-RE-250,Implante de Seno Redondo Low Profile 250cc,"Grado médico, esterilizado Gamma",7,1762.86,0.0,0.0,0.15,12340.02,1851.0,14191.02,0.0,0.0,Pagado,57,2025-03-21,17,1762.86,774.05,5418.35,Redondo Low Profile
2025-08-11,2025,8,Centro Quirúrgico Norte,Lucía Méndez,IMP-RE-325,Implante de Seno Redondo High Profile 325cc,"Grado médico, esterilizado Gamma",1,1868.44,0.0,0.0,0.15,1868.44,280.27,2148.71,2148.71,37.6,Pendiente,17,2025-08-28,56,1868.44,635.85,635.85,Redondo High Profile
2024-10-29,2024,10,MedGroup SA,Elena Gómez,IMP-RE-350,Implante de Seno Redondo High Profile 350cc,"Grado médico, esterilizado Gamma",1,1491.13,0.0,0.0,0.15,1491.13,223.67,1714.8,1714.8,0.0,Pendiente,56,2024-12-24,21,1491.13,505.48,505.48,Redondo High Profile
2023-01-12,2023,1,Dr. Juan Pérez,Marcos Proaño,IMP-ER-350,Implante de Seno Ergonómico 350cc,"Grado médico, esterilizado Gamma",3,2033.12,0.0,0.0,0.15,6099.36,914.9,7014.26,0.0,0.0,Pagado,50,2023-03-03,36,2033.12,816.01,2448.03,Ergonómico
2025-02-09,2025,2,Centro Quirúrgico Norte,Elena Gómez,IMP-AN-500,Implante de Seno Anatómico 500cc,"Grado médico, esterilizado Gamma",8,2133.36,0.0,0.0,0.15,17066.88,2560.03,19626.91,0.0,0.0,Pagado,60,2025-04-10,106,2133.36,727.68,5821.44,Anatómico
2025-08-14,2025,8,Hospital del Valle,Sofia Vega,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",11,1308.41,0.0,0.0,0.15,14392.51,2158.88,16551.39,0.0,289.65,Pagado,40,2025-09-23,47,1308.41,487.59,5363.49,Redondo High Profile
2023-08-03,2023,8,Hospital del Valle,Sofia Vega,IMP-RE-450,Implante de Seno Redondo High Profile 450cc,"Grado médico, esterilizado Gamma",7,2120.54,0.0,0.0,0.15,14843.78,2226.57,17070.35,0.0,0.0,Pagado,60,2023-10-02,52,2120.54,710.47,4973.29,Redondo High Profile
2025-01-19,2025,1,MedGroup SA,Sofia Vega,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",1,2148.83,0.15,322.32,0.15,1826.51,273.98,2100.49,0.0,36.76,Pagado,21,2025-02-09,146,2148.83,845.74,845.74,Redondo High Profile
2024-11-25,2024,11,Clínica Santa Inés,Carlos Ruiz,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",11,1223.15,0.0,0.0,0.15,13454.65,2018.2,15472.85,0.0,270.77,Pagado,29,2024-12-24,142,1223.15,472.38,5196.18,Redondo High Profile
2025-07-20,2025,7,Dr. Juan Pérez,Elena Gómez,IMP-AN-450,Implante de Seno Anatómico 450cc,"Grado médico, esterilizado Gamma",11,1394.77,0.0,0.0,0.15,15342.47,2301.37,17643.84,0.0,0.0,Pagado,52,2025-09-10,92,1394.77,632.95,6962.45,Anatómico
2024-08-14,2024,8,Hospital del Valle,Sofia Vega,IMP-ER-500,Implante de Seno Ergonómico 500cc,"Grado médico, esterilizado Gamma",6,1791.41,0.15,1612.27,0.15,9136.19,1370.43,10506.62,0.0,0.0,Pagado,19,2024-09-02,63,1791.41,765.85,4595.1,Ergonómico
2024-01-26,2024,1,Centro Quirúrgico Norte,Carlos Ruiz,IMP-AN-350,Implante de Seno Anatómico 350cc,"Grado médico, esterilizado Gamma",11,1714.39,0.0,0.0,0.15,18858.29,2828.74,21687.03,0.0,379.52,Pagado,46,2024-03-12,93,1714.39,633.52,6968.72,Anatómico
2025-11-12,2025,11,Clínica Santa Inés,Carlos Ruiz,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",5,2476.84,0.0,0.0,0.15,12384.2,1857.63,14241.83,0.0,0.0,Pagado,46,2025-12-28,65,2476.84,827.43,4137.15,Redondo High Profile
2025-09-08,2025,9,Estética Integral,Elena Gómez,IMP-RE-250,Implante de Seno Redondo Low Profile 250cc,"Grado médico, esterilizado Gamma",7,1300.77,0.0,0.0,0.15,9105.39,1365.81,10471.2,0.0,0.0,Pagado,54,2025-11-01,132,1300.77,538.12,3766.84,Redondo Low Profile
2025-05-15,2025,5,Centro Quirúrgico Norte,Carlos Ruiz,IMP-AN-300,Implante de Seno Anatómico 300cc,"Grado médico, esterilizado Gamma",4,2126.06,0.0,0.0,0.15,8504.24,1275.64,9779.88,9779.88,171.15,Pendiente,43,2025-06-27,86,2126.06,749.19,2996.76,Anatómico
2023-09-15,2023,9,MedGroup SA,Lucía Méndez,IMP-RE-250,Implante de Seno Redondo Low Profile 250cc,"Grado médico, esterilizado Gamma",5,1666.96,0.0,0.0,0.15,8334.8,1250.22,9585.02,0.0,0.0,Pagado,47,2023-11-01,13,1666.96,691.06,3455.3,Redondo Low Profile
2024-02-27,2024,2,Hospital del Valle,Marcos Proaño,IMP-AN-375,Implante de Seno Anatómico 375cc,"Grado médico, esterilizado Gamma",2,1461.86,0.0,0.0,0.15,2923.72,438.56,3362.28,0.0,58.84,Pagado,47,2024-04-14,127,1461.86,519.66,1039.32,Anatómico
2023-11-01,2023,11,MedGroup SA,Carlos Ruiz,IMP-AN-375,Implante de Seno Anatómico 375cc,"Grado médico, esterilizado Gamma",10,2269.94,0.0,0.0,0.15,22699.4,3404.91,26104.31,0.0,0.0,Pagado,57,2023-12-28,13,2269.94,846.77,8467.7,Anatómico
2024-01-24,2024,1,Hospital del Valle,Carlos Ruiz,IMP-RE-325,Implante de Seno Redondo Low Profile 325cc,"Grado médico, esterilizado Gamma",2,1802.67,0.05,180.27,0.15,3425.07,513.76,3938.83,0.0,68.93,Pagado,39,2024-03-03,135,1802.67,658.67,1317.34,Redondo Low Profile
2023-10-09,2023,10,Clínica Santa Inés,Lucía Méndez,IMP-RE-500,Implante de Seno Redondo High Profile 500cc,"Grado médico, esterilizado Gamma",9,1068.58,0.1,961.72,0.15,8655.5,1298.33,9953.83,0.0,174.19,Pagado,50,2023-11-28,84,1068.58,464.02,4176.18,Redondo High Profile
2025-02-19,2025,2,Hospital del Valle,Sofia Vega,IMP-RE-500,Implante de Seno Redondo Low Profile 500cc,"Grado médico, esterilizado Gamma",2,1510.44,0.0,0.0,0.15,3020.88,453.13,3474.01,0.0,0.0,Pagado,51,2025-04-11,60,1510.44,685.4,1370.8,Redondo Low Profile
2023-08-11,2023,8,Clínica Santa Inés,Carlos Ruiz,IMP-RE-275,Implante de Seno Redondo Low Profile 275cc,"Grado médico, esterilizado Gamma",3,1397.73,0.0,0.0,0.15,4193.19,628.98,4822.17,4822.17,84.39,Pendiente,31,2023-09-11,106,1397.73,609.79,1829.37,Redondo Low Profile
2023-03-20,2023,3,MedGroup SA,Lucía Méndez,IMP-RE-375,Implante de Seno Redondo High Profile 375cc,"Grado médico, esterilizado Gamma",7,1640.11,0.0,0.0,0.15,11480.77,1722.12,13202.89,0.0,231.05,Pagado,19,2023-04-08,26,1640.11,698.62,4890.34,Redondo High Profile
2023-09-04,2023,9,Hospital del Valle,Marcos Proaño,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",2,1941.4,0.0,0.0,0.15,3882.8,582.42,4465.22,4465.22,0.0,Pendiente,52,2023-10-26,97,1941.4,725.34,1450.68,Redondo Low Profile
2025-05-25,2025,5,Centro Quirúrgico Norte,Elena Gómez,IMP-ER-300,Implante de Seno Ergonómico 300cc,"Grado médico, esterilizado Gamma",8,1289.6,0.1,1031.68,0.15,9285.12,1392.77,10677.89,0.0,0.0,Pagado,48,2025-07-12,41,1289.6,513.21,4105.68,Ergonómico
2023-09-15,2023,9,Clínica Santa Inés,Elena Gómez,IMP-ER-500,Implante de Seno Ergonómico 500cc,"Grado médico, esterilizado Gamma",7,1806.18,0.0,0.0,0.15,12643.26,1896.49,14539.75,0.0,254.45,Pagado,49,2023-11-03,117,1806.18,790.32,5532.24,Ergonómico
2024-02-25,2024,2,Dr. Juan Pérez,Lucía Méndez,IMP-RE-350,Implante de Seno Redondo Low Profile 350cc,"Grado médico, esterilizado Gamma",6,2293.13,0.1,1375.88,0.15,12382.9,1857.43,14240.33,0.0,249.21,Pagado,39,2024-04-04,137,2293.13,771.23,4627.38,Redondo Low Profile
2024-05-24,2024,5,Clínica Santa Inés,Elena Gómez,IMP-ER-500,Implante de Seno Ergonómico 500cc,"Grado médico, esterilizado Gamma",5,1625.17,0.1,812.59,0.15,7313.26,1096.99,8410.25,8410.25,0.0,Pendiente,55,2024-07-18,11,1625.17,581.79,2908.95,Ergonómico
